OperatorId,OperatorName,Owner,TotalOperatorTokens,DelegatorId,DelegatorsOperatorTokens
0x1dceb55d35a93e7ee34675b0f8427a53d4877a92,nodes.quest,0xdb32aa47a9cc3e2a2de5971b3213e99513f658a0,2047940.438159170612749697,0xdb32aa47a9cc3e2a2de5971b3213e99513f658a0,2047940.438159170612749697
0x1e8c21b4160bacf98b3165112cda7ba5fed83f72,zuk,0x6394071be05dc758a3b8100f1b264875e764dde2,49643.879472801567476954,0x6394071be05dc758a3b8100f1b264875e764dde2,49643.879472801567476954
0x20ce1e785d993740247bd777cab07db45a10dcc9,Vivid Round Enable,0xf5378d25009d38d3df9e2a942882f004c58e4587,29.92051581,0xf5378d25009d38d3df9e2a942882f004c58e4587,29.92051581
0x20dc607556c1749eee88094631bba9506ebb83fa,CryptoEnzo-OperatorNode,0x13f2379b2380a7614945fdadd2683591036ecbd5,6009.952984737863346817,0x13f2379b2380a7614945fdadd2683591036ecbd5,6009.952984737863346817
0x216142cc2442df78369826de0e4f2cd7f71f61a7,LiquiCity,0x1709148a9c9abcce48744c20c0266948bc6c9fce,5000.0,0x1709148a9c9abcce48744c20c0266948bc6c9fce,5000.0
0x2196e114dcab75a9601a07691e2bd9cad4d3c1b5,Ride The Lightning,0xadf85f474478ac00b9368ced892d0e23c30ef714,71583.292991043281423908,0xadf85f474478ac00b9368ced892d0e23c30ef714,71583.292991043281423908
0x21ff1bb650a3089a2d7c4c62c5d5022621e1f1ef,Niux,0x89a6e7adbc17ffee13f9e6805adf2a9d1bff9944,11127.400643918956196523,0x89a6e7adbc17ffee13f9e6805adf2a9d1bff9944,11127.400643918956196523
0x2298549b0ac17c7f2b0ff9a4c087d623dbd6464e,00StreamOperator,0x6469c5c862ff54a489a07d83c1690e7c549baa7a,13082.0,0x6469c5c862ff54a489a07d83c1690e7c549baa7a,13082.0
0x23a2feb05ef98aa8437b25b112db44959b352838,StreamrGPT⚡️,0x7b319641b0cb8cbc171dc3356d7b9ffdcbdd985b,28867.28513111623856983,0x7b319641b0cb8cbc171dc3356d7b9ffdcbdd985b,28867.28513111623856983
0x25fe4bf122147ed65e1577f30c8b5b2d1e0f3780,Fantastic fork,0x601aae7f7012a470abd9477e8336e9716b87c3aa,12068.508828933617939265,0x601aae7f7012a470abd9477e8336e9716b87c3aa,12068.508828933617939265
0x279f3df588984975f2c5f8e04f42c4c3f195f3bc,AlphaLoot,0x55015f8a1c05f9fb44bdd9e09545c9e07a609193,7677.141257682588110964,0x55015f8a1c05f9fb44bdd9e09545c9e07a609193,7677.141257682588110964
0x2c8f3d2092ddc61c802202ae92e59667d59a45e5,Lemon Throw Step,0x3e506335e8eeb2745002233f469a4fcee8fd38f6,1512.719353438871181147,0x3e506335e8eeb2745002233f469a4fcee8fd38f6,1512.719353438871181147
0x2f66a95fd18d1fb2de05c3f6a4107653772f910d,Rumnkoke 1.0,0xa6ef35c9dd0c76d61c8bc142af4bb53a328e68aa,7834.722424472729638078,0xa6ef35c9dd0c76d61c8bc142af4bb53a328e68aa,7834.722424472729638078
0x31600b3b0533b120f1194a29f8f8c043307bd43a,MCM.Streamr,0xd7838f40661efe503e0191a7160973819ead4a47,10997.2269874915032492,0xd7838f40661efe503e0191a7160973819ead4a47,10997.2269874915032492
0x319e425d7abb9e5463b6e7e830965d52a05000b3,Kitty,0x5caa48419624ad33e96ab87b64c3822e20e95811,3.0,0x5caa48419624ad33e96ab87b64c3822e20e95811,3.0
0x3584066c154db832ddbe24fdfcb32cb8345f8d7d,Swiss Lapi Operator,0x6868ef5ecfadc742b7f2686bafeadcc0b7550bac,5504.145515063043887185,0x6868ef5ecfadc742b7f2686bafeadcc0b7550bac,5504.145515063043887185
0x35e102e3edd5bea2f50166c752ed9bcdf0a4fa42,Myrilandel,0x029de5acb471b24d367cd71459d7542dd352de62,17991.858854136795316964,0x029de5acb471b24d367cd71459d7542dd352de62,17991.858854136795316964
0x362ffe9db90cfaee11621b98f6eb0562c35bb7ee,BYK Data,0x530550e005bfeb24a392e77319961e1f32b1d5ce,37827.956684661150064547,0x530550e005bfeb24a392e77319961e1f32b1d5ce,37827.956684661150064547
0x36413497e867c930eb73280ac2231f25c62de9eb,Nitro62210,0x82a1cd09e82d42ab3fce4d68ffb13f38201b2bda,36318.434871558475065769,0x63500f60a8b3f206c6e2fff69a6b0d6c6c37332e,4497.125053475089296509
0x36413497e867c930eb73280ac2231f25c62de9eb,Nitro62210,0x82a1cd09e82d42ab3fce4d68ffb13f38201b2bda,36318.434871558475065769,0x82a1cd09e82d42ab3fce4d68ffb13f38201b2bda,7702.879490310791560547
0x36413497e867c930eb73280ac2231f25c62de9eb,Nitro62210,0x82a1cd09e82d42ab3fce4d68ffb13f38201b2bda,36318.434871558475065769,0x8dd44ee0e7d55ceac8a7dcfa335be9c8f2a88e61,11991.046234587554502996
0x36413497e867c930eb73280ac2231f25c62de9eb,Nitro62210,0x82a1cd09e82d42ab3fce4d68ffb13f38201b2bda,36318.434871558475065769,0xafd83de9fdf6fc7403c6830489f8a211bf73d15e,12127.384093185039705717
0x369db96cedda7804a62d510798b30d8c83a81c89,BOOST YOURSELF,0x323cc700255edeb10028fd4af7e3f7a3bcea277d,24949.184285507660608004,0x323cc700255edeb10028fd4af7e3f7a3bcea277d,24949.184285507660608004
0x3809719df82d8cc2bc51d2e95144312a636f9a75,For the Dads,0x2611f2475291d3091a129581388a37725ca1e1f3,6159.857467657539148697,0x2611f2475291d3091a129581388a37725ca1e1f3,6159.857467657539148697
0x382cff4589e61d5ed18f2891eb574c9a148db6a8,Heath's Streamr 1.0  Operator,0x307a0b544129a1172a26676e84c93e7d13b25ef1,5822.750321675837316972,0x307a0b544129a1172a26676e84c93e7d13b25ef1,5822.750321675837316972
0x387672a2e1999538d1454365fd488102c3621537,Kosuke,0x5e5c752bc69d5b1cf2b80e238338bc2d0d85959b,5000.0,0x5e5c752bc69d5b1cf2b80e238338bc2d0d85959b,5000.0
0x3c25ae26626530b3465ef42acd841104817efe49,GROOT,0xebe346bc979742e7a378c16f2d36c8bba25907ff,111695.389910110188914105,0xebe346bc979742e7a378c16f2d36c8bba25907ff,111695.389910110188914105
0x3c9a75cf19b4dd221ce69babdf33ae26a9c0df8a,Electron's New Node,0x15c8aba4c044b54d055e46fd9aca08c4f4f8424f,10500.0,0x15c8aba4c044b54d055e46fd9aca08c4f4f8424f,10500.0
0x400a1d5069defd0af3240027ea6676cf88110985,SymbiotAI.com,0xc2ae2d5523080b64cc788cddc91ff59a3e29f911,776.971457254379289403,0xc2ae2d5523080b64cc788cddc91ff59a3e29f911,776.971457254379289403
0x4125776266d0f2681892d291fd4052521c3ade90,Streaming Data,0x216cba53835b67782f98face30c3f61f5d36657e,5715.8430397301999856,0x216cba53835b67782f98face30c3f61f5d36657e,5715.8430397301999856
0x415a97eb65c81a8b8fb8d1747ce36e27fe1463e8,JRAStreamr,0x43fc66d4876baca379bc22e6afdef43a017a5068,18689.930593258614838883,0x43fc66d4876baca379bc22e6afdef43a017a5068,18689.930593258614838883
0x43f086e986fe3b06b9b8d53570099459c89ae79c,Streamr Mainnet 1.0,0x274a3c047438f145bb435096fa52374c0863f624,114394.756680959395010131,0x274a3c047438f145bb435096fa52374c0863f624,114394.756680959395010131
0x454dfb20eac0a78c0762d83b148801dabab567e5,WinStreamr01,0x07e21e1eca7b770457d739cebdf07ce6558f8840,173.409174917841390533,0x07e21e1eca7b770457d739cebdf07ce6558f8840,173.409174917841390533
0x476483a9b715475f0a1c4119022e18ca3aa5e1c9,PXL Service,0x4f94ab321f28866168f5b3f1767246d0226ae7d5,10500.1907456176241942,0x16342fc629006f42bf0b57e5a93defaa09533ad6,5000.0
0x476483a9b715475f0a1c4119022e18ca3aa5e1c9,PXL Service,0x4f94ab321f28866168f5b3f1767246d0226ae7d5,10500.1907456176241942,0x4f94ab321f28866168f5b3f1767246d0226ae7d5,5500.1907456176241942
0x494e4db0df075d3a6170b80d50d875a79573fa66,Le stream Français,0x9c19f2ffd274c43047b5a9b30d014a418305132a,95759.846692597079197959,0x9c19f2ffd274c43047b5a9b30d014a418305132a,95759.846692597079197959
0x4961a2ec52f4760cff2afeec888e8e8b7b22c004,Deutschland,0x35111294ca72308f7950c631ae8a60976f6dc5a5,70482.778914695463632191,0x35111294ca72308f7950c631ae8a60976f6dc5a5,65094.208399239971858503
0x4961a2ec52f4760cff2afeec888e8e8b7b22c004,Deutschland,0x35111294ca72308f7950c631ae8a60976f6dc5a5,70482.778914695463632191,0x926f509083cc220bd6ff62b35f3a9a3e4c82e1e3,5388.570515455491773688
0x497ec54fa05f581ccca2d7a3f4c324497902cae7,MacP Trading,0x6c9fe7f8b688202e4f94e5d35311887cc1f7a420,34544.0842329209750395,0x6c9fe7f8b688202e4f94e5d35311887cc1f7a420,34544.0842329209750395
0x4adb0d30f8212112e09a9962aa36ae90b2b03eb1,IATG2001,0x1066a983a43784a5ca8d1d07bbbe001e6b3e4f9f,5436.941370635070861524,0x1066a983a43784a5ca8d1d07bbbe001e6b3e4f9f,5436.941370635070861524
0x4b0d5a95624c8f20d79e4a2278c1a7da16a3472e,BF,0xe936f372338865f117c5e96ffa81a2e1aa031b4b,1144576.002823558634245393,0xe936f372338865f117c5e96ffa81a2e1aa031b4b,1144576.002823558634245393
0x4b1bdc4272b5fc63b632ea80dade8317ae90330e,Sagittarius A*,0x056aa97af2fe488e596795b899b26ff4a79bf129,15000.0,0x056aa97af2fe488e596795b899b26ff4a79bf129,15000.0
0x4d9223066d3bd3230e827299dbde95a23cc8e872,Haaasi,0x3289407291724fca33d0337ce753735a7a4f5a79,5189.0,0x3289407291724fca33d0337ce753735a7a4f5a79,5189.0
0x4e334b022822871fe7aa3b2a05b99d7fb654939a,freestriker00,0x4df472cfb73ff0fbd4615bb478a064f006d011b5,5000.0,0x4df472cfb73ff0fbd4615bb478a064f006d011b5,5000.0
0x5203736c7c9ce65bf4092dca3c2e94c21fdc80f2,Etlv,0xc378ae7020ae0615dde7d19c4a5213db5fc47767,77161.01099436713876264,0xc378ae7020ae0615dde7d19c4a5213db5fc47767,77161.01099436713876264
0x52b58c9c11ca725799cfcf38855d64126f5a5a55,NettoPianist,0x1e73ffbbb4c1cb8c0e56cfe730733579488657b9,48263.502699098712937153,0x1e73ffbbb4c1cb8c0e56cfe730733579488657b9,48263.502699098712937153
0x54228d7576896171707f7e5b391eb5582f19c04a,Organorf Streamr Node,0x89e1d6f04073a64ec49bb2a3a09d942ecbd68cf9,10769.017986123273604019,0x89e1d6f04073a64ec49bb2a3a09d942ecbd68cf9,10769.017986123273604019
0x5539d3ca1ca2146255c9992880eea1d954e83e5d,Ultra3,0xc55f9bffc77cb66f4ece08976952b16ef7682ccd,5000.0,0xc55f9bffc77cb66f4ece08976952b16ef7682ccd,5000.0
0x55d636d30fb5c935f05e5f88fb32f49fefed65cf,MsT,0x439446ae1ccd44f184fd6e1d844ea779444095d5,21552.730332906328607934,0x439446ae1ccd44f184fd6e1d844ea779444095d5,21552.730332906328607934
0x568eceb03629a1000f11cc5d36fad700839eaea3,Brutus,0x02febd702ce3bc89bf74beee9a6abf68d7ff00b8,43479.272006816649825376,0x02febd702ce3bc89bf74beee9a6abf68d7ff00b8,43479.272006816649825376
0x5a6eb4699f9b74195e0e832152883e343e8cad65,DrakeColdwinter,0xf26afbdde05d00b7bc4f62145a1aea9fd0105b06,5081.242981369274379079,0xf26afbdde05d00b7bc4f62145a1aea9fd0105b06,5081.242981369274379079
0x5b975726e6676d111b62b95476c6f2868532aba4,MMG | Streamr Operator,0x164e5a79ce1c65f12d1e96e2ba737bf4cbc6c44e,232396.676709116123743027,0x164e5a79ce1c65f12d1e96e2ba737bf4cbc6c44e,216594.103686811490156736
0x5b975726e6676d111b62b95476c6f2868532aba4,MMG | Streamr Operator,0x164e5a79ce1c65f12d1e96e2ba737bf4cbc6c44e,232396.676709116123743027,0x22fcaec71206f3e4422eb97ac9c846ea6b363a7b,15700.0
0x5b975726e6676d111b62b95476c6f2868532aba4,MMG | Streamr Operator,0x164e5a79ce1c65f12d1e96e2ba737bf4cbc6c44e,232396.676709116123743027,0x72e65042e5fe8ae73c4bfdf8ba86d961a4000770,102.573022304633586291
0x5c36ff5b6fb2fbb556978c7dc71b550dce5313b1,NexuSecurus - 100% ReStake,0xf895404abb5a89a512c6172545580a3627e9054a,1197973.02799281670862004,0x0121065e6cd1b3282f6ea0743f79e147d7a1e6b7,17681.492056344247010761
0x5c36ff5b6fb2fbb556978c7dc71b550dce5313b1,NexuSecurus - 100% ReStake,0xf895404abb5a89a512c6172545580a3627e9054a,1197973.02799281670862004,0x6b5001cddad6299e21ed595101323e158affd579,219998.80777888972458734
0x5c36ff5b6fb2fbb556978c7dc71b550dce5313b1,NexuSecurus - 100% ReStake,0xf895404abb5a89a512c6172545580a3627e9054a,1197973.02799281670862004,0x725c49b2f78cf01c5119b1889a719926cd5c7089,298580.267330270678078291
0x5c36ff5b6fb2fbb556978c7dc71b550dce5313b1,NexuSecurus - 100% ReStake,0xf895404abb5a89a512c6172545580a3627e9054a,1197973.02799281670862004,0xf895404abb5a89a512c6172545580a3627e9054a,661712.460827312058943648
0x5ca4c92adaea2ee70a89f9df8e096ba866aedb98,Swiss DePIN,0x5c8a23b9937febda9782dd317786008fd481dda7,32211.669586355329109405,0x0a3c04b5db246bbaa253a7ddde014f4d221c5d11,646.574424477671544693
0x5ca4c92adaea2ee70a89f9df8e096ba866aedb98,Swiss DePIN,0x5c8a23b9937febda9782dd317786008fd481dda7,32211.669586355329109405,0x5c8a23b9937febda9782dd317786008fd481dda7,31093.279464770153970251
0x5ca4c92adaea2ee70a89f9df8e096ba866aedb98,Swiss DePIN,0x5c8a23b9937febda9782dd317786008fd481dda7,32211.669586355329109405,0xb49e9508ff49e53739a72435d3c41ed05519a4f0,471.815697107503594461
0x5e0a364cdf5499e938ac4ccd5f1b0762ef240ee5,WamaisixStreams,0xd937e8d00be2a11dd2ebdff9a5bcfc416c2978ba,67062.37023908014787544,0xd937e8d00be2a11dd2ebdff9a5bcfc416c2978ba,67062.37023908014787544
0x5fe3da18aef56417a4e226b54c23cbe4fdf03858,Magellan,0x583eebb8c3178c0ee4fa4c74536b987871ade682,10500.0,0x042596cf8c56bae22750847a7eb19164fd1698fb,5000.0
0x5fe3da18aef56417a4e226b54c23cbe4fdf03858,Magellan,0x583eebb8c3178c0ee4fa4c74536b987871ade682,10500.0,0x583eebb8c3178c0ee4fa4c74536b987871ade682,5500.0
0x632c871e448a52fea93d5d53d2b304417298c217,Sebinouze,0x16832664a66ed32fe4ecea571bf77ec11c4415e3,17739.0,0x16832664a66ed32fe4ecea571bf77ec11c4415e3,17739.0
0x65b9266b84ddbd417e37f6bdf5265f1015fe146f,The Smooth Operator (Streamr 1.0 mainnet),0x6922a1d33d73a02391351a4b0c31d48619221694,6000.0,0x6922a1d33d73a02391351a4b0c31d48619221694,6000.0
